sold_price_raw,living_area_raw,plot_area_raw,rooms_raw,operating_cost_raw,latitude,longitude,house_age,type_Parhus,type_Radhus,type_Villa,plot_living_ratio,dist_partille_center_km,dist_gbg_center_km,dist_partille_station_km,dist_jonsered_station_km,dist_ostra_km,dist_e20_partille_km,dist_e45_gamlestadsmotet_km,dist_e20_jonsered_lerum_km,dist_rv40_landvetter_km,dist_delsjon_km,dist_kasjon_km,dist_partille_golf_km,dist_jonsered_herrgard_km,min_dist_center_km,min_dist_transport_km,min_dist_workplace_km,min_dist_infrastructure_km,min_dist_recreation_km,sold_year,sold_month,rooms_missing
5300000,77.0,480.0,5.0,3546.0,57.74033028,12.05659837,81.0,False,False,True,6.233766233766234,3.0,6.0,3.0,7.0,2.2,3.0,2.6,7.0,15.5,2.4,7.2,5.0,6.8,3.0,3.0,2.2,2.6,2.4,2025,12,0
6520000,83.0,672.0,7.0,2792.0,57.742226,12.054237,80.0,False,False,True,8.096385542168674,3.1,6.0,3.1,7.1,2.4,3.2,2.6,7.1,15.7,2.6,7.2,5.2,6.9,3.1,3.1,2.4,2.6,2.6,2025,12,0
8900000,200.0,824.0,6.0,3110.0,57.71894617,12.13134793,45.0,False,False,True,4.12,2.7,9.4,2.7,4.2,4.8,2.8,6.6,4.1,10.5,5.3,5.5,2.7,4.4,2.7,2.7,4.8,2.8,2.7,2025,12,0
5810000,180.0,1159.0,9.0,3941.0,57.75133075,12.15604147,92.0,False,False,True,6.438888888888889,3.2,11.8,3.2,1.1,7.1,3.1,8.4,1.1,11.1,7.6,1.7,1.3,0.8,3.2,1.1,7.1,1.1,0.8,2025,9,0
4450000,83.0,653.0,5.0,3475.0,57.738831,12.064748,77.0,False,False,True,7.867469879518072,2.5,6.3,2.5,6.6,2.2,2.6,2.9,6.5,15.0,2.5,6.8,4.6,6.4,2.5,2.5,2.2,2.6,2.5,2025,12,0
2700000,115.0,281.0,5.0,3376.0,57.74550773,12.07403899,54.0,False,True,False,2.4434782608695653,2.0,7.2,2.0,5.9,3.1,2.1,3.8,5.9,14.8,3.4,6.0,4.0,5.7,2.0,2.0,3.1,2.1,3.4,2025,9,0
5550000,84.0,154.0,4.0,3746.0,57.71525729,12.06036844,62.0,False,True,False,1.8333333333333333,3.8,5.1,3.9,7.7,0.8,4.0,2.6,7.7,14.4,1.2,8.5,5.7,7.7,3.8,3.9,0.8,2.6,1.2,2025,12,0
7200000,105.0,600.0,7.0,3650.0,57.7257079,12.07207713,51.0,False,False,True,5.714285714285714,2.6,6.1,2.6,6.6,1.4,2.7,3.0,6.5,14.0,1.9,7.2,4.5,6.5,2.6,2.6,1.4,2.7,1.9,2025,9,0
2900000,118.0,178.0,5.0,2532.0,57.73958222,12.09342402,63.0,False,True,False,1.5084745762711864,0.8,7.8,0.8,4.9,3.3,0.9,4.5,4.8,13.5,3.7,5.3,2.9,4.7,0.8,0.8,3.3,0.9,2.9,2025,8,0
10400000,158.0,1596.0,0.0,2982.0,57.73778821,12.04505288,111.0,False,False,True,10.10126582278481,3.6,5.3,3.7,7.8,1.9,3.7,1.9,7.7,16.0,2.0,7.9,5.7,7.6,3.6,3.7,1.9,1.9,2.0,2025,12,1
4700000,92.0,255.0,4.0,3117.0,57.70107637,12.14655452,26.0,False,False,True,2.7717391304347827,4.9,10.3,4.9,5.6,6.1,5.0,8.0,5.5,9.1,6.6,7.2,4.6,6.0,4.9,4.9,6.1,5.0,4.6,2025,11,0
3200000,80.0,284.0,4.0,2982.0,57.73769552,12.05875421,80.0,False,True,False,3.55,2.8,5.9,2.9,7.0,2.0,2.9,2.5,6.9,15.3,2.2,7.2,4.9,6.8,2.8,2.9,2.0,2.5,2.2,2025,11,0
2600000,87.0,79.0,4.0,3801.0,57.74518571,12.11727911,58.0,False,True,False,0.9080459770114943,0.9,9.4,0.9,3.4,4.8,0.7,6.0,3.3,12.6,5.3,3.7,1.5,3.2,0.9,0.9,4.8,0.7,1.5,2025,11,0
6900000,134.0,1247.0,5.0,4924.0,57.69449842,12.14379915,34.0,False,False,True,9.305970149253731,5.5,10.2,5.5,6.4,6.2,5.6,8.1,6.3,9.1,6.7,7.9,5.3,6.7,5.5,5.5,6.2,5.6,5.3,2025,8,0
5550000,113.0,757.0,5.0,3471.0,57.73412658,12.11580636,59.0,False,False,True,6.699115044247788,0.8,8.8,0.8,3.8,4.1,0.9,5.7,3.8,12.0,4.7,4.6,1.8,3.8,0.8,0.8,4.1,0.9,1.8,2025,9,0
4200000,80.0,473.0,4.0,3675.0,57.72679781,12.04319163,87.0,False,False,True,5.9125,4.0,4.5,4.1,8.2,0.8,4.1,1.3,8.1,15.7,0.7,8.6,6.1,8.0,4.0,4.1,0.8,1.3,0.7,2025,11,0
4510000,116.0,152.0,6.0,3433.0,57.742075,12.0803,65.0,False,True,False,1.3103448275862069,1.6,7.3,1.6,5.6,3.0,1.6,3.9,5.6,14.3,3.3,5.8,3.6,5.4,1.6,1.6,3.0,1.6,3.3,2025,11,0
6350000,99.0,156.0,4.0,4670.0,57.716329,12.061801,64.0,False,True,False,1.5757575757575757,3.7,5.2,3.7,7.6,0.8,3.9,2.7,7.5,14.3,1.3,8.3,5.5,7.6,3.7,3.7,0.8,2.7,1.3,2025,11,0
5350000,115.0,161.0,4.0,3655.0,57.71234569,12.08618796,50.0,False,True,False,1.4,3.3,6.6,3.3,6.6,2.3,3.4,4.2,6.6,12.8,2.8,7.6,4.7,6.7,3.3,3.3,2.3,3.4,2.8,2025,9,0
5800000,125.0,227.0,3.0,3766.0,57.72108681,12.12892327,46.0,False,False,False,1.816,2.5,9.3,2.5,4.1,4.6,2.5,6.4,4.0,10.7,5.2,5.4,2.5,4.3,2.5,2.5,4.6,2.5,2.5,2025,11,0
4600000,99.0,486.0,4.0,3151.0,57.73656393,12.14407905,63.0,False,False,False,4.909090909090909,2.3,10.5,2.2,2.3,5.8,2.2,7.4,2.2,10.7,6.3,3.4,0.7,2.4,2.3,2.2,5.8,2.2,0.7,2025,11,0
9000000,259.0,2900.0,0.0,7650.0,57.73569664,12.04246773,115.0,False,False,True,11.196911196911197,3.8,5.0,3.9,7.9,1.8,3.9,1.6,7.9,16.1,1.7,8.2,5.9,7.8,3.8,3.9,1.8,1.6,1.7,2025,8,1
4750000,90.0,143.0,5.0,4179.0,57.73162635,12.08786275,45.0,False,True,False,1.5888888888888888,1.4,7.2,1.5,5.5,2.5,1.6,4.0,5.4,13.4,3.0,6.0,3.4,5.4,1.4,1.5,2.5,1.6,3.0,2025,7,0
4200000,120.0,934.0,4.0,1649.0,57.73625924,12.12369904,60.0,False,False,True,7.783333333333333,1.1,9.4,1.1,3.3,4.7,1.1,6.2,3.2,11.7,5.2,4.1,1.2,3.3,1.1,1.1,4.7,1.1,1.2,2025,11,0
6200000,152.0,1144.0,5.0,3267.0,57.7312391,12.08194184,85.0,False,False,True,7.526315789473684,1.7,6.8,1.8,5.8,2.2,1.9,3.6,5.8,13.7,2.7,6.3,3.7,5.7,1.7,1.8,2.2,1.9,2.7,2025,11,0
7720000,122.0,288.0,5.0,2358.0,57.71622944,12.06872834,9.0,False,False,True,2.360655737704918,3.4,5.6,3.5,7.3,1.2,3.6,3.0,7.2,13.9,1.7,8.0,5.2,7.2,3.4,3.5,1.2,3.0,1.7,2025,9,0
6325000,99.0,156.0,4.0,4488.0,57.7138575,12.05985164,64.0,False,True,False,1.5757575757575757,4.0,5.1,4.0,7.8,0.9,4.1,2.7,7.8,14.4,1.3,8.6,5.8,7.8,4.0,4.0,0.9,2.7,1.3,2025,8,0
5250000,96.0,180.0,5.0,3408.0,57.72509045,12.04358574,87.0,False,True,False,1.875,4.1,4.5,4.1,8.2,0.7,4.2,1.3,8.1,15.6,0.6,8.6,6.1,8.1,4.1,4.1,0.7,1.3,0.6,2025,8,0
8500000,215.0,1232.0,7.0,3543.0,57.72014608,12.13218706,45.0,False,False,True,5.730232558139535,2.7,9.4,2.7,4.1,4.8,2.7,6.6,4.0,10.5,5.4,5.4,2.5,4.3,2.7,2.7,4.8,2.7,2.5,2025,8,0
5850000,195.0,1117.0,8.0,4995.0,57.77856942,12.11110055,9.0,False,False,True,5.728205128205128,4.3,11.2,4.3,4.9,7.4,4.2,7.9,5.0,15.1,7.7,3.8,4.4,4.4,4.3,4.3,7.4,4.2,3.8,2025,9,0
5500000,99.0,156.0,0.0,2982.0,57.71662227,12.06280155,64.0,False,True,False,1.5757575757575757,3.6,5.3,3.7,7.5,0.8,3.8,2.7,7.5,14.3,1.3,8.2,5.5,7.5,3.6,3.7,0.8,2.7,1.3,2025,11,1
6150000,137.0,207.0,4.0,3425.0,57.72610443,12.08344093,20.0,False,False,True,1.510948905109489,2.0,6.7,2.1,6.0,2.0,2.2,3.7,5.9,13.4,2.6,6.6,3.9,5.9,2.0,2.1,2.0,2.2,2.6,2025,11,0
6375000,142.0,175.0,5.0,3883.0,57.726394,12.083496,20.0,False,True,False,1.232394366197183,2.0,6.8,2.0,5.9,2.0,2.2,3.7,5.9,13.4,2.6,6.6,3.9,5.9,2.0,2.0,2.0,2.2,2.6,2025,11,0
7000000,116.0,871.0,8.0,2982.0,57.73076235,12.06136921,49.0,False,False,True,7.508620689655173,2.8,5.7,2.9,7.0,1.3,3.0,2.4,6.9,14.8,1.6,7.4,4.9,6.9,2.8,2.9,1.3,2.4,1.6,2025,7,0
8500000,150.0,881.0,7.0,3831.0,57.72854743,12.06003688,94.0,False,False,True,5.873333333333333,3.0,5.5,3.1,7.1,1.0,3.2,2.3,7.1,14.8,1.4,7.6,5.1,7.0,3.0,3.1,1.0,2.3,1.4,2025,7,0
8300000,75.0,1292.0,0.0,2982.0,57.72804424,12.07439149,89.0,False,False,True,17.226666666666667,2.3,6.3,2.3,6.4,1.6,2.4,3.1,6.3,14.0,2.1,6.9,4.3,6.3,2.3,2.3,1.6,2.4,2.1,2025,11,1
8060000,159.0,1404.0,5.0,3529.0,57.74021284,12.04804811,60.0,False,False,True,8.830188679245284,3.5,5.6,3.5,7.5,2.2,3.6,2.2,7.5,16.0,2.3,7.7,5.5,7.3,3.5,3.5,2.2,2.2,2.3,2025,11,0
4500000,132.0,175.0,5.0,4417.0,57.72515043,12.08988074,47.0,False,True,False,1.3257575757575757,1.9,7.1,1.9,5.7,2.4,2.1,4.1,5.6,13.0,2.9,6.4,3.6,5.6,1.9,1.9,2.4,2.1,2.9,2025,11,0
5200000,118.0,248.0,6.0,2586.0,57.70558913,12.14843787,33.0,True,False,False,2.1016949152542375,4.5,10.3,4.5,5.1,6.0,4.6,7.9,5.0,9.1,6.5,6.7,4.1,5.5,4.5,4.5,6.0,4.6,4.1,2025,11,0
3295000,85.0,76.0,5.0,4378.0,57.74454832,12.11801817,58.0,False,True,False,0.8941176470588236,0.9,9.4,0.8,3.4,4.8,0.7,6.1,3.3,12.5,5.3,3.7,1.4,3.2,0.9,0.8,4.8,0.7,1.4,2025,8,0
6250000,140.0,849.0,6.0,3039.0,57.73406418,12.13323564,27.0,False,False,True,6.064285714285714,1.7,9.8,1.7,3.0,5.1,1.7,6.7,2.9,11.1,5.6,4.0,1.0,3.0,1.7,1.7,5.1,1.7,1.0,2025,7,0
5200000,83.0,157.0,4.0,2620.0,57.72968865,12.08801856,73.0,False,False,True,1.891566265060241,1.6,7.1,1.6,5.6,2.4,1.7,4.0,5.5,13.3,2.9,6.2,3.5,5.5,1.6,1.6,2.4,1.7,2.9,2025,7,0
8875000,161.0,843.0,6.0,3820.0,57.70137489,12.13543003,23.0,False,False,True,5.236024844720497,4.6,9.6,4.6,5.8,5.5,4.7,7.3,5.7,9.7,5.9,7.3,4.6,6.1,4.6,4.6,5.5,4.7,4.6,2025,11,0
8800000,245.0,1251.0,6.0,6600.0,57.72385126,12.06525592,61.0,False,False,True,5.106122448979592,3.0,5.6,3.0,7.1,0.9,3.2,2.6,7.0,14.4,1.4,7.6,5.0,7.0,3.0,3.0,0.9,2.6,1.4,2025,11,0
8200000,258.0,971.0,8.0,5889.0,57.73110026,12.07019974,87.0,False,False,True,3.7635658914728682,2.3,6.2,2.4,6.5,1.6,2.5,2.9,6.4,14.4,2.1,6.9,4.4,6.4,2.3,2.4,1.6,2.5,2.1,2025,11,0
