sold_year,sold_month,median_sqm_price,factor_to_last
2020,5,43447.36842105263,1.2340093262206913
2020,6,48359.78835978836,1.108657826052569
2020,7,44375.29861442905,1.2082050038056995
2020,8,43877.551020408166,1.2219108994116
2020,9,46933.333333333336,1.142353504928806
2020,10,47272.72727272727,1.1341519925857275
2020,11,44464.79338842975,1.2057732364337579
2020,12,51861.11111111111,1.0338085066565137
2021,1,54053.921568627455,0.9918699009331967
2021,2,44897.95918367347,1.1941401971522454
2021,3,53630.434782608696,0.9997020917069168
2021,4,51000.0,1.0512638790455942
2021,5,54962.96296296296,0.9754652031305816
2021,6,52353.76574008078,1.0240802561845015
2021,7,56547.619047619046,0.9481293595434369
2021,8,52679.643361581926,1.0177452695214166
2021,9,59090.90909090909,0.907321594068582
2021,10,55925.0,0.9586849858082307
2021,11,52807.99195777834,1.0152716633155028
2021,12,55747.12643678161,0.9617438827474848
2022,1,50515.463917525776,1.0613474305384805
2022,2,55833.333333333336,0.9602589462326919
2022,3,52878.260869565216,1.013922488176683
2022,4,53207.229928541405,1.0076536196928654
2022,5,54916.50186772138,0.9762904775046971
2022,6,51048.95104895105,1.0502558177917147
2022,7,56451.6129032258,0.9497418244406197
2022,8,46496.8152866242,1.1530780656874071
2022,9,54377.470355731224,0.9859682232473416
2022,10,47170.82616179001,1.1366020524515394
2022,11,50866.07550182482,1.0540317353439599
2022,12,43539.4298407997,1.2314000901565447
2023,1,50454.545454545456,1.062628893954195
2023,2,45844.98834498835,1.1694726024984645
2023,3,44668.269230769234,1.200280618761776
2023,4,50000.0,1.072289156626506
2023,5,46805.555555555555,1.1454720960995317
2023,6,46186.647173489284,1.1608216034806595
2023,7,45312.5,1.1832156211051101
2023,8,57142.857142857145,0.9382530120481927
2023,9,48120.3007518797,1.1141754518072289
2023,10,49586.776859504134,1.0812248995983935
2023,11,49375.0,1.0858624370901326
2023,12,46351.03056970819,1.1567047630298857
2024,1,45223.21428571429,1.1855516835357223
2024,2,44346.368715083794,1.2089931912077638
2024,3,48417.49448123621,1.1073364783901227
2024,4,46686.74698795181,1.1483870967741934
2024,5,50916.0530191458,1.0529971325775158
2024,6,48269.230769230766,1.110737771804349
2024,7,41569.767441860466,1.2897463981801331
2024,8,49791.66666666667,1.0767757221354035
2024,9,47115.38461538462,1.1379395131546595
2024,10,46099.67788117395,1.1630115500919849
2024,11,54003.51339481774,0.9927957360727984
2024,12,45608.10810810811,1.1755466309683178
2025,1,55930.77247783875,0.9585860422823369
2025,2,51239.669421487604,1.0463466770307035
2025,3,51834.8623853211,1.034332018338842
2025,4,45964.18732782369,1.1664398077777096
2025,5,48516.877637130805,1.1050681833303557
2025,6,53846.153846153844,0.995697074010327
2025,7,52421.94674012856,1.0227483175531116
2025,8,56611.96911196911,0.9470516336445526
2025,9,48333.333333333336,1.1092646447860406
2025,10,51388.88888888889,1.0433083686095734
2025,11,44954.12844036697,1.1926481435947873
2025,12,53614.4578313253,1.0
